Year,Barley,Maize,Wheat US HRW
1960,105.28,232.46,302.95
1961,106.32,230.37,300.31
1962,114.2,244.74,323.62
1963,122.87,275.53,330.44
1964,127.06,276.08,341.25
1965,121.85,278.66,297.63
1966,125.09,281.42,303.9
1967,125.62,258.9,314.44
1968,121.48,231.54,303.02
1969,117.15,239.58,267.57
1970,113.54,251.57,236.5
1971,116.25,239.2,252.83
1972,112.89,209.34,262.13
1973,165.21,316.71,452.66
1974,172.51,348.63,477.43
1975,141.09,286.19,356.57
1976,131.85,265.55,314.11
1977,104.69,208.45,225.65
1978,103.39,189.52,240.31
1979,110.03,194.81,270.32
1980,119.94,192.05,264.82
1981,122.09,200.28,267.94
1982,100.57,172.46,253.11
1983,114.94,220.54,255.24
1984,130.52,225.38,252.56
1985,98.54,188.03,227.57
1986,69.28,127.54,167.39
1987,73.11,100.62,150.07
1988,87.79,133.42,181.24
1989,94.35,140.05,212.52
1990,96.68,132.18,163.93
1991,95.57,131.14,157.08
1992,94.29,124.93,181.2
1993,82.69,118.27,162.46
1994,86.77,128.45,178.82
1995,113.15,134.34,192.54
1996,132.71,183.89,230.24
1997,113.17,136.28,185.61
1998,103.51,124.12,153.49
1999,94.23,111.94,139.03
2000,97.08,111.28,143.4
2001,122.67,117.06,165.6
2002,143.98,131.17,195.66
2003,131.55,132.34,183.56
2004,116.42,131.49,184.51
2005,108.41,112.51,173.71
2006,129.68,135.5,213.56
2007,180.64,171.5,267.43
2008,194.99,216.97,317.05
2009,133.03,171.58,232.29
2010,158.39,185.91,223.58
2011,186.7,262.83,284.98
2012,218.05,270.8,284.26
2013,184.26,236.4,284.57
2014,127.87,178.53,263.7
2015,198.76,173.65,209.17
2016,168.74,169.4,177.35
